t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
0.726439714,2.149958911,0.903096677,-1.597411163,0.279240643,-0.369149806,0.12254902,1.021451235,0.560842666,0.391238366,0.170255121
NaN,NaN,0.096197766,0.948766603,0.07126297,0.510821813,0.314307267,0.602088001,-0.158055787,-0.468601495,-0.246327099
-0.160046282,0.192636986,0.372498936,-0.11514997,0.051984316,0.039844447,-0.22198784,-0.093430312,0.177723434,-0.234852517,-0.103293769
-0.046135758,-0.296243631,0.171821306,NaN,NaN,-0.557274022,0.215317816,-0.538790896,-0.047613002,0.342879087,-0.179967092
-0.333601078,0.035857717,0,-0.366254105,1.800057717,0.540037244,2.114097124,1.879699248,1.334498834,0.832862789,-0.331564987
0.952767712,0.988567726,1.289508083,0.598113642,1.202435312,-0.835443038,-2.141203704,0.974532225,-1.235958081,1.072677006,0.747362603
0.246305,0.518283904,0.750029653,0.212188962,0.105441378,0.286016435,-0.022211561,-0.376423897,0.272727273,1.365594292,0.73612837
NaN,-0.078577708,-0.111508564,0.049343581,0.143145388,0.133650134,0.657742382,NaN,NaN,-0.012646373,0.071899686
-0.611670956,-0.031562668,-0.124247612,0.345685841,-0.603097451,1.31683108,-0.031562668,-0.786794442,0.082117987,0.722669349,-0.932119604
1.307028911,1.368206695,0.193310292,1.007531446,0.55546549,-0.994550756,0.903156631,0.598395213,0.570440487,-0.046948709,0.02990228
NaN,0.432230884,0.102985,-0.746136387,0.862494229,-0.425790958,0.452618826,0.323434428,-0.348433129,-0.130368384,-0.616710875
NaN,NaN,NaN,0.60918463,0.327102804,0.93495935,1.681818182,1.209941138,0.551641202,0.569580666,0.897158652
0.041816024,0.067704803,-0.125568813,-0.183204573,-0.137402357,0.310495561,0.290124447,-0.016729052,-0.021784249,0.16298512,0.344118793
0.744395467,0.58004248,0.437368308,-0.077856774,0.35521455,-0.654826913,0.131843411,-0.130718954,0.353352134,0.309186749,-0.782838219
-0.608294818,-0.08912636,-0.835817977,-0.172929674,-0.375768764,0.804557745,0.298576582,0.507495656,0.416129032,1.429178392,0.804305735
0.57997558,0.25974026,-0.8681279,0.102018395,0.356696986,0.26509218,0.138600139,0.951447353,0.027995521,0.290597988,0.500628658
0.082599643,0.340664595,0.166348855,0.226807141,-0.254856255,-0.333383092,0.658823529,0.357129895,-0.904537586,0.058214748,-0.297116618
