t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
0.178565201,0.10713912,0.251791485,0.285704321,0.142852161,0.10713912,0.285704321,0.07142608,0.143880849,0.178565201,0.142852161
0,0.178565201,0.073528884,0.50358297,0.071940424,0.287761697,0.07246223,0.108693345,0.142852161,0.07246223,0.107910637
0.10713912,0.321417361,0.07142608,0.10713912,0.03571304,0.10713912,0.142852161,0.10713912,0,0.108716424,0.07142608
0,0,0.147057768,0.330879977,0.073528884,0.110293326,0.14598332,0.181155574,0.03571304,0.108693345,0.10713912
0.321417361,0.285704321,0.50358297,0.321417361,0.642834723,0.321417361,0.395672334,0.142852161,0.821399923,0.359702122,0.249991281
0.26718354,0.291966641,0.261195933,0.116262347,0.326080034,0,0.038462983,0.193134666,0.072996863,0.269240882,0.234110654
0.29,0.428556482,0.143880849,0.714260803,0.321417361,0.607121682,0.285704321,0.392843442,0.335823343,0.321417361,0.499982562
0.03571304,0.03571304,0.10713912,0.10713912,0.07142608,0.10713912,0.142852161,0.03571304,0.07142608,0.142852161,0.03571304
0,0.107910637,0.071940424,0.10713912,0.148148148,0.214278241,0.071940424,0.036764442,0.074785466,0.178565201,0
0.142852161,0.444444444,0.116143667,0.251791485,0.07142608,0.32373191,0.479711712,0.07142608,0.178565201,0.037797136,0.215821273
0.10948749,0.300756296,0.181155574,0,0.229014463,0.142852161,0,0,0,0.073528884,0
0.285704321,0.249991281,0.178565201,0.179851061,0.143880849,0.142852161,0.287761697,0.10713912,0.178565201,0.215821273,0.29887993
0.07142608,0.07142608,0.035970212,0.10713912,0.143880849,0.214278241,0.321417361,0.214278241,0.10713912,0.321417361,0.10713912
0.249991281,0.07142608,0.07142608,0.178565201,0.142852161,0.03571304,0.321417361,0.03571304,0.249991281,0.285704321,0.307703865
0.03571304,0.03571304,0.03571304,0,0.07142608,0.179851061,0.03571304,0.142852161,0.107910637,0.142852161,0.112783611
0.107910637,0.10948749,0.07246223,0.112783611,0.148148148,0.07246223,0.14598332,0.111111111,0.074074074,0.073528884,0.181155574
0.10713912,0.142852161,0.178565201,0.251791485,0.071940424,0.108693345,0.249991281,0.321417361,0.143880849,0.07142608,0.07142608
