t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
0.099996513,0.124995641,0.249991281,0.399986049,NA,0.124995641,0.074997384,0.074997384,0.174993897,0,0.049998256
0,NA,0.102188324,0.025912804,0.050358297,0.100716594,0.126808902,0.124995641,0.104478373,0.024999128,0.024999128
NA,0.130597967,0.104478373,0.164071263,0.130597967,0.153282486,0.106873416,0.210529407,NA,0.158812452,0.165364504
0.077205328,0,0.052239187,0,NA,0.080772264,0.025735109,0.02651574,0,0.076641243,0.026119594
NA,0.049998256,0.174993897,0.249991281,0.124995641,0.124995641,0.099996513,0.174993897,0.124995641,0.099996513,0.199993025
NA,0.23507634,0.13158088,0,0.236845583,0.217064123,0,0,0,0.263161759,0
0.099997,0.199993025,0.125895743,0.215895486,0.148979507,0.12520524,0.144283414,0.09437788,0.031806887,0,0.064634806
NA,0.077205328,0.10606296,0.181481481,NA,0.205880875,0.208956747,0.184213231,NA,0.050358297,0.077867903
0.024999128,0.075537446,0.127735405,0.17625404,0.026119594,0.152170682,0.154410656,0.255470811,0.189923918,0.151074891,0.052239187
0.024999128,0.124995641,0.074997384,0.124995641,0.124995641,0.124995641,0.124995641,0.074997384,0.155555555,0,0.074997384
NA,0.099996513,0.050358297,0.124995641,0.174993897,0.199993025,0.149994769,0.249991281,0.174993897,0.124995641,0.199993025
NA,0,NA,0.049998256,0.149994769,0.074997384,0,0.049998256,NA,0.099996513,0.049998256
0.024999128,0.050358297,0.076085342,0.074997384,0.050723561,0,0,0.050358297,0.151074891,0.099996513,0.049998256
0.124995641,NA,0.076641243,0.025547081,0,0.025179148,0.077205328,0.075537446,0.049998256,0.050358297,0.099996513
0.124995641,0.149994769,0.224992153,0.174993897,0.124995641,0.125895743,0.299989537,0.099996513,0.049998256,0.149994769,0.199993025
NA,NA,NA,0.155843027,0.249991281,0.149994769,0.126808902,0.025179148,0.149994769,0.302149782,0.103703704
NA,0.0522,NA,0.099996513,0.205880875,0.181481481,0.17625404,0.101447122,0.099996513,0.124995641,0.099996513
